detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,connection received: host=2a05:d018:1e14:205:89f6:8a57:91b9:1312 port=59972,null,ccf10d34-0a0e-48c1-bd21-a46cc19448a9,fsjvwquudybjxjnpgkom,1775596350475000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,f27901a1-a06d-45ca-a501-502342d55b66,fsjvwquudybjxjnpgkom,1775596349102000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d40686de-6955-4d6b-8b98-6441c0bc67f6,fsjvwquudybjxjnpgkom,1775596349102000
null,LOG,connection received: host=2a05:d018:1e14:205:89f6:8a57:91b9:1312 port=59970,null,189ac602-f6e8-4f5c-a83d-8425f5f92644,fsjvwquudybjxjnpgkom,1775596348374000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,c56d762d-13dd-495a-97a0-3526df788a03,fsjvwquudybjxjnpgkom,1775596341552000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=psql SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,1d19709c-31ab-4d7c-9f5c-86ad55caf3c6,fsjvwquudybjxjnpgkom,1775596341552000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=psql SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,2c17e713-2c60-42ec-a795-4af00406cf7b,fsjvwquudybjxjnpgkom,1775596341416000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,458d74c2-b352-42f7-a489-23a57283b45f,fsjvwquudybjxjnpgkom,1775596341416000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,3d2d8e31-0968-4336-a780-8b004863e5b8,fsjvwquudybjxjnpgkom,1775596341380000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=psql SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,9d42852f-c098-41fe-8d35-5f8a2fd98be6,fsjvwquudybjxjnpgkom,1775596341380000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=psql SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,19e8d0b1-ac83-4973-8ed5-1d39721d41f1,fsjvwquudybjxjnpgkom,1775596340889000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,0ba95209-6d83-403d-94f2-38047c09f31e,fsjvwquudybjxjnpgkom,1775596340889000
null,LOG,connection received: host=::1 port=3771,null,a88660ab-7157-44a1-8b58-aa9f469b556d,fsjvwquudybjxjnpgkom,1775596340845000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,3d670700-347a-4e64-917e-360e9c8a21d3,fsjvwquudybjxjnpgkom,1775596321850000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,c6ba354d-9cb5-4636-a45f-4e54f5b4639e,fsjvwquudybjxjnpgkom,1775596321849000
null,LOG,connection received: host=2a05:d018:1e14:205:e115:3ccc:db6f:c5f3 port=40894,null,d41a12af-1d7c-4201-8fda-33b51f3b2279,fsjvwquudybjxjnpgkom,1775596321609000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,3b1b6996-4a35-4c93-a885-4582e857a2cf,fsjvwquudybjxjnpgkom,1775596295387000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,bc261711-47d6-428f-ab8e-effa7df01594,fsjvwquudybjxjnpgkom,1775596295387000
null,LOG,connection received: host=::1 port=62741,null,6f94963c-0e8b-4af5-b09c-912949ebc002,fsjvwquudybjxjnpgkom,1775596295337000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,64f55fd1-f2eb-4746-a44c-031f33c543d8,fsjvwquudybjxjnpgkom,1775596292359000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,e394c617-cce3-4996-826e-25968e8ce08f,fsjvwquudybjxjnpgkom,1775596292358000
null,LOG,connection received: host=::1 port=62727,null,6fa1efb1-4806-443c-a7be-4e6b8ed124a5,fsjvwquudybjxjnpgkom,1775596292358000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,dcb6d4e6-48f4-4f01-83a4-4fbfe34c562b,fsjvwquudybjxjnpgkom,1775596282596000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,81b7800c-4bef-496a-91c2-901747fa50ae,fsjvwquudybjxjnpgkom,1775596282596000
null,LOG,connection received: host=2a05:d018:1e14:205:e115:3ccc:db6f:c5f3 port=60208,null,66c25a67-0219-4049-a46b-28cddb12416e,fsjvwquudybjxjnpgkom,1775596282440000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,18122d0d-4778-48f2-8285-faa27b1e0ea6,fsjvwquudybjxjnpgkom,1775596271204000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d165a0ff-0b09-4aac-8319-e93b3ca6bd17,fsjvwquudybjxjnpgkom,1775596271204000
null,LOG,connection received: host=2a05:d018:1e14:200:bc4a:160a:156a:17d3 port=53178,null,2c5a6715-e8e7-40a2-ae99-a63dd80340a6,fsjvwquudybjxjnpgkom,1775596271093000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,f3205024-bedb-4c4a-bf7a-195c7bc78920,fsjvwquudybjxjnpgkom,1775596269235000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d30fe79f-756a-4ced-9999-b692c6e6bfc7,fsjvwquudybjxjnpgkom,1775596269235000
null,LOG,connection received: host=2a05:d018:1e14:200:bc4a:160a:156a:17d3 port=53164,null,46390ee9-1151-46ce-adcc-0931e9a0218a,fsjvwquudybjxjnpgkom,1775596268892000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,c68d013b-efc3-4266-ba1e-860b9f052563,fsjvwquudybjxjnpgkom,1775596264051000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,c321a729-4294-4051-9b97-756ce06ba678,fsjvwquudybjxjnpgkom,1775596264051000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,2e4644a4-a67c-4250-b747-c0166d76e896,fsjvwquudybjxjnpgkom,1775596263528000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,52b35dab-1962-4f8d-b7a2-240020c473c9,fsjvwquudybjxjnpgkom,1775596263528000
null,LOG,"statement: SET statement_timeout='58s'; SET idle_session_timeout='58s';CREATE SCHEMA IF NOT EXISTS pgmq;

CREATE EXTENSION pgmq
  SCHEMA pgmq
  VERSION '1.5.1'
  CASCADE;

-- source: POST /platform/pg-meta/:ref/query
-- user: session:0882665c-40b7-4fa9-b67e-8d7d8bf93ef2
-- date: 2026-04-07T21:11:03.159Z",null,87417b83-b845-422c-ba94-e82acb96a500,fsjvwquudybjxjnpgkom,1775596263451000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,ec6aaf03-6682-48a2-8383-e16b7db52c36,fsjvwquudybjxjnpgkom,1775596263428000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,7bd87a33-ee53-4bfb-81d4-fc1b17dbb48c,fsjvwquudybjxjnpgkom,1775596263428000
